"Location.Name","avg.0.4","avg.5.17","avg.18.59","avg.60","AvgTotal"
"Adjumani",13466,41537,27786,2419,85208
"Arua",9568,26695,18992,1039,56294
"Ikafe",1546,4725,2601,131,9003
"Imvepi",4758,15811,11213,641,32423
"Kampala",4521,19831,25540,667,50559
"Kiryandongo",3174,10494,7267,557,21492
"Kitgum",7115,15486,11356,925,34882
"Koboko",808,2560,1400,120,4888
"Kyaka II",4841,11402,9868,701,26812
"Kyangwali",6322,15227,11631,842,34022
"Lamwo",4254,10095,6615,508,21472
"Lobule",543,2483,1298,117,4441
"Madi-Okollo",865,3350,1553,106,5874
"Matanda",2657,6856,4888,235,14636
"Moyo",7998,25312,18383,1735,53428
"Nakivale",11308,28970,26968,1173,68419
"Oruchinga",866,2087,1673,104,4730
"Pakelle",1537,6814,3393,160,11904
"Palorinya",5247,16468,11855,1042,34612
"Rhino Camp",1623,8662,4897,179,15361
"Rwamanja",13567,23386,20055,982,57990
"Yumbe (Bidibidi)",41986,96049,55086,4943,198064
