"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2005,"Rhino Camp",1370,0,4328,0,3959,168,1439,0,4559,0,3758,116
2005,"Palorinya",3003,0,6317,0,7496,542,3013,0,6770,0,5788,263
2005,"Oruchinga",330,0,430,0,520,18,306,0,426,0,566,29
2005,"Okollo",863,0,1335,0,1456,121,788,0,1600,0,1171,80
2005,"Nakivale",2074,0,2386,0,3091,102,1964,0,2427,0,3521,119
2005,"Kyangwali",1874,0,3261,0,3494,319,1948,0,3529,0,3457,211
2005,"Kyaka II",1645,0,2465,0,2961,175,1572,0,2627,0,2977,176
2005,"Kiryandongo",1135,0,2149,0,2568,404,1193,0,2306,0,2431,242
2005,"Imvepi",1490,0,4790,0,3952,151,1631,0,6871,0,4329,79
2005,"Ikafe",1017,0,1820,0,1806,111,998,0,2038,0,1555,71
2005,"Adjumani",4422,0,9649,0,11633,978,4529,0,9898,0,10385,546
2006,"Rhino Camp ",1342,2042,3856,1814,3735,151,1424,2059,4188,2129,3688,109
2006,"Palorinya",2640,3567,5968,2401,7080,497,2611,3763,6417,2654,5630,246
2006,"Oruchinga",266,292,447,155,548,22,234,301,465,164,556,38
2006,"Nakivale",2681,2366,4265,1899,5337,169,2691,2261,4326,2065,6022,201
2006,"Madi-Okollo",966,931,1472,541,1538,121,865,961,1711,750,1291,88
2006,"Kyangwali",1874,2110,3531,1421,3757,332,1919,2105,3762,1657,3731,226
2006,"Kyaka II",1435,1764,3034,1270,3481,210,1397,1730,3186,1456,3448,219
2006,"Kiryandongo",1335,1550,2543,993,3058,484,1358,1634,2824,1190,2813,300
2006,"Adjumani",4391,5848,9993,4145,12254,1035,4482,5805,10209,4404,11098,589
2006,"Kampala",195,105,654,549,1137,24,199,96,625,529,1803,9
2006,"Imvepi",1504,2529,4741,2212,3965,155,1680,2822,6752,3930,4454,80
2006,"Ikafe",1226,1180,1834,654,1835,114,1245,1103,2035,932,1591,72
2007,"Rhino Camp ",773,1550,2802,1252,3139,114,761,1484,3031,1547,3628,80
2007,"Palorinya",2109,3367,5589,2222,6627,447,2140,3481,5903,2422,5544,235
2007,"Oruchinga",307,310,440,130,543,23,260,301,462,161,551,37
2007,"Nakivale",3889,3610,5347,1737,6745,206,3854,3587,5470,1883,7444,221
2007,"Madi-Okollo",705,739,1335,596,1343,104,687,708,1455,747,1257,62
2007,"Kyangwali",1559,2349,3937,1588,4136,365,1602,2401,4061,1660,4210,239
2007,"Kyaka II",1889,2058,3288,1230,3696,229,1828,2019,3471,1452,3599,229
2007,"Kiryandongo",848,1320,2150,830,2536,391,892,1338,2285,947,2437,227
2007,"Kampala",270,458,889,431,1154,30,280,455,854,399,1498,11
2007,"Imvepi",962,2407,4350,1943,4178,156,1137,2763,5658,2895,5543,77
2007,"Ikafe",790,909,1646,737,1643,93,827,824,1694,870,1598,58
2007,"Adjumani",3751,5600,9669,4069,12487,1049,3770,5630,9929,4299,11518,611
2008,"Rhino Camp ",406,684,1177,493,1237,71,395,714,1294,580,946,56
2008,"Oruchinga",216,264,407,143,455,22,195,260,400,140,448,24
2008,"Nakivale",4430,4645,6957,2312,8914,302,4493,4506,7054,2548,9636,327
2008,"Moyo",931,1476,2390,914,2802,188,961,1569,2499,930,2016,108
2008,"Matanda",1319,1114,1690,576,2573,142,1338,1081,1738,657,2315,93
2008,"Madi-Okollo",72,111,190,79,219,17,75,124,225,101,204,9
2008,"Kiryandongo",13,17,26,9,22,1,10,11,23,12,20,1
2008,"Kyangwali",1358,1616,2619,1003,2652,181,1374,1642,2707,1065,2408,135
2008,"Kyaka II",1660,1764,2707,943,2971,230,1555,1649,2702,1053,2660,265
2008,"Kiryandongo",394,538,896,358,1042,93,384,551,931,380,976,67
2008,"Kampala",900,1507,2945,1438,4327,99,955,1434,2792,1358,6251,108
2008,"Imvepi",399,837,1462,625,1477,78,496,942,1970,1028,1537,34
2008,"Ikafe",39,81,138,57,157,3,40,92,173,81,220,2
2008,"Adjumani",1528,2570,4338,1768,5215,337,1532,2549,4373,1824,4173,218
2009,"Rhino Camp ",114,230,412,182,247,17,92,252,452,200,151,15
2009,"Palorinya",216,272,471,199,554,30,243,321,494,173,409,15
2009,"Oruchinga",192,245,387,142,421,25,182,229,369,140,429,27
2009,"Nakivale",5240,5827,8839,3012,11146,433,5252,5737,8953,3216,11938,448
2009,"Madi-Okollo",51,79,139,60,183,16,42,92,174,82,175,7
2009,"Kyangwali",1909,2387,3817,1430,4424,249,1891,2407,3845,1438,4262,209
2009,"Kiryandongo",297,489,870,381,1041,92,279,468,877,409,941,76
2009,"Kyaka II",1843,2139,3318,1179,3494,264,1766,2024,3307,1283,3156,294
2009,"Pakelle",761,1043,1698,655,1977,104,776,1035,1709,674,1416,56
2009,"Kampala",1105,2057,4088,2031,6666,189,1158,2045,4035,1990,9575,178
2009,"Imvepi",129,245,465,220,268,17,156,304,599,295,247,3
2010,"Rhino Camp   ",87,186,0,156,318,25,78,170,0,184,238,17
2010,"Palorinya  ",145,216,0,191,468,33,158,248,0,162,375,15
2010,"Oruchinga  ",163,171,0,102,273,18,124,173,0,105,288,26
2010,"Nakivale  ",5935,6460,0,3403,12369,536,5986,6391,0,3590,13364,521
2010,"Kyangwali  ",2370,2607,0,1488,4650,271,2409,2609,0,1525,4526,213
2010,"Kiryandongo  ",293,494,0,352,1027,94,292,480,0,396,895,76
