"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60."
2005,"Rhino Camp",1370,NA,4328,NA,3959,168,1439,NA,4559,NA,"3758",116
2005,"Palorinya",3003,NA,6317,NA,7496,542,3013,NA,6770,NA,"5788",263
2005,"Oruchinga",330,NA,430,NA,520,18,306,NA,426,NA,"566",29
2005,"Okollo",863,NA,1335,NA,1456,121,788,NA,1600,NA,"1171",80
2005,"Nakivale",2074,NA,2386,NA,3091,102,1964,NA,2427,NA,"3521",119
2005,"Kyangwali",1874,NA,3261,NA,3494,319,1948,NA,3529,NA,"3457",211
2005,"Kyaka II",1645,NA,2465,NA,2961,175,1572,NA,2627,NA,"2977",176
2005,"Kiryandongo",1135,NA,2149,NA,2568,404,1193,NA,2306,NA,"2431",242
2005,"Imvepi",1490,NA,4790,NA,3952,151,1631,NA,6871,NA,"4329",79
2005,"Ikafe",1017,NA,1820,NA,1806,111,998,NA,2038,NA,"1555",71
2005,"Adjumani",4422,NA,9649,NA,11633,978,4529,NA,9898,NA,"10385",546
2006,"Soroti, Katakwi, Amuria",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Rhino Camp ",1342,2042,3856,1814,3735,151,1424,2059,4188,2129,"3688",109
2006,"Palorinya",2640,3567,5968,2401,7080,497,2611,3763,6417,2654,"5630",246
2006,"Oruchinga",266,292,447,155,548,22,234,301,465,164,"556",38
2006,"Nakivale",2681,2366,4265,1899,5337,169,2691,2261,4326,2065,"6022",201
2006,"Masindi/ Hoima",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Madi-Okollo",966,931,1472,541,1538,121,865,961,1711,750,"1291",88
2006,"Kyangwali",1874,2110,3531,1421,3757,332,1919,2105,3762,1657,"3731",226
2006,"Kyaka II",1435,1764,3034,1270,3481,210,1397,1730,3186,1456,"3448",219
2006,"Kiryandongo",1335,1550,2543,993,3058,484,1358,1634,2824,1190,"2813",300
2006,"Adjumani / Moyo",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Adjumani",4391,5848,9993,4145,12254,1035,4482,5805,10209,4404,"11098",589
2006,"Pader",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Lira",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Kitgum",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Kampala",195,105,654,549,1137,24,199,96,625,529,"1803",9
2006,"Imvepi",1504,2529,4741,2212,3965,155,1680,2822,6752,3930,"4454",80
2006,"Ikafe",1226,1180,1834,654,1835,114,1245,1103,2035,932,"1591",72
2006,"Gulu",0,0,0,0,0,0,0,0,0,0,"0",0
2006,"Apac",0,0,0,0,0,0,0,0,0,0,"0",0
2007,"Rhino Camp ",773,1550,2802,1252,3139,114,761,1484,3031,1547,"3628",80
2007,"Palorinya",2109,3367,5589,2222,6627,447,2140,3481,5903,2422,"5544",235
2007,"Pader",NA,NA,0,NA,NA,NA,NA,NA,0,NA,"",NA
