"Year","Received_Refugees","Returned_Refugees"
2000,118,0
2000,9019,1
2000,27,0
2000,208,2
2000,0,0
2000,0,0
2000,8,0
2000,100,0
2000,0,0
2000,1,0
2000,1,0
2000,1,0
2000,13740,257
2000,212156,12
2000,1236,0
2000,4,0
2000,3,0
2000,0,0
2001,94,0
2001,7613,0
2001,3,0
2001,35,0
2001,115,0
2001,1,0
2001,1,0
2001,0,0
2001,14288,32
2001,176766,0
2001,1,0
2001,819,0
2001,0,0
2002,245,5
2002,8848,2
2002,3,0
2002,60,0
2002,133,0
2002,0,0
2002,0,0
2002,2,0
2002,0,0
2002,18937,17
2002,188194,17
2002,1,0
2002,879,0
2002,0,0
2002,0,0
2003,317,1
2003,11680,27
2003,10,0
2003,70,1
2003,39,104
2003,6,0
2003,3,0
2003,19604,41
2003,198281,5
2003,1,0
2003,892,0
2003,0,0
2004,1,0
2004,663,14
2004,1,0
2004,14982,34
2004,12,0
2004,116,1
2004,0,0
2004,32,1
2004,8,0
2004,0,0
2004,1,0
2004,1,0
2004,18902,2568
2004,214673,59
2004,1089,0
2004,0,0
2004,1,0
2005,1660,17
2005,8,0
2005,20564,1
2005,6,0
2005,4,0
2005,99,0
2005,0,0
2005,29,0
2005,1,1
2005,0,0
2005,1,0
2005,2,0
2005,20213,1586
2005,212857,31
2005,1811,0
2005,1,0
2006,1741,18
2006,9,0
2006,28766,8
2006,6,0
2006,128,0
2006,6,0
2006,49,0
2006,1,0
2006,1,0
2006,2,0
2006,0,0
2006,3,0
2006,21866,56
2006,215675,5835
2006,1,0
2006,3752,0
2006,1,0
2007,2224,0
2007,9,0
2007,41782,158
2007,139,0
2007,249,0
2007,6,0
2007,54,0
2007,1,0
2007,2,0
2007,6,0
2007,3,0
2007,17846,0
2007,162063,76575
2007,1,0
2007,4573,0
2007,1,0
2008,3183,246
2008,8,0
2008,1,0
2008,0,0
2008,76498,14327
2008,3,0
2008,796,87
2008,581,91
2008,0,5
2008,1,0
2008,0,0
2008,0,0
2008,1908,720
2008,3,0
2008,1,0
2008,0,2
2008,18,4
2008,0,3
2008,16162,3174
2008,56883,46858
2008,1,1
2008,6085,1318
2008,0,0
2008,0,0
2009,3777,115
2009,0,0
2009,9,0
2009,1,0
2009,0,0
2009,0,0
2009,73175,25616
2009,4,0
2009,3046,0
2009,891,0
2009,0,0
2009,1,0
2009,1,0
2009,0,0
2009,1684,449
2009,0,0
2009,3,0
2009,1,0
2009,23,0
2009,15717,5701
2009,20836,29917
2009,1,0
2009,8172,0
2009,1,0
2009,2,0
2010,4950,8
2010,0,0
2010,9,0
2010,1,0
2010,0,0
2010,2,0
2010,81804,6177
2010,3,0
2010,3490,0
2010,982,0
2010,0,0
2010,1,0
2010,2,0
2010,0,0
2010,1397,324
2010,0,0
2010,3,0
2010,1,0
2010,24,0
2010,0,0
2010,12590,3
2010,19382,2674
2010,1,0
2010,11151,0
2010,5,0
2010,3,0
2010,0,0
2011,6687,1
2011,0,0
2011,9,0
2011,1,0
2011,0,0
2011,2,0
2011,81487,7985
2011,0,0
2011,1,0
2011,0,0
2011,3529,0
2011,1064,0
2011,0,0
2011,0,0
2011,1,0
2011,1,0
2011,0,0
2011,1338,69
2011,0,0
2011,5,0
2011,1,0
2011,23,0
2011,12998,7
2011,18268,807
2011,1,0
2011,14023,0
2011,0,885
2011,6,0
2011,0,0
2011,3,0
2011,0,0
2012,10728,0
2012,0,0
2012,9,0
2012,1,0
2012,0,0
2012,4,0
2012,127021,21912
2012,0,0
2012,2,0
2012,6,0
2012,4630,0
2012,1529,0
2012,0,0
2012,0,0
2012,0,0
2012,1,0
2012,0,0
2012,1124,0
2012,0,0
2012,5,0
2012,12,0
2012,1,0
2012,63,0
2012,14684,375
2012,7910,1671
2012,1,0
2012,19000,0
2012,11135,1906
2012,0,0
2012,6,0
2012,0,0
2012,5,0
