"Year","Location.Name","Female.0.4","Female.5.11","Female.5.17","Female.12.17","Female.18.59","Female.60.","F..Unknown","F..Total","Male.0.4","Male.5.11","Male.5.17","Male.12.17","Male.18.59","Male.60.","M..Unknown","M..Total"
2005,"Rhinocamp",1370,0,4328,0,3959,168,0,9825,1439,0,4559,0,"3758",116,0,"9872"
2005,"Palorinya",3003,0,6317,0,7496,542,0,17358,3013,0,6770,0,"5788",263,0,"15834"
2005,"Oruchinga",330,0,430,0,520,18,0,1298,306,0,426,0,"566",29,0,"1327"
2005,"Okollo",863,0,1335,0,1456,121,0,3775,788,0,1600,0,"1171",80,0,"3639"
2005,"Nakivale",2074,0,2386,0,3091,102,0,7653,1964,0,2427,0,"3521",119,0,"8031"
2005,"Kyangwali",1874,0,3261,0,3494,319,0,8948,1948,0,3529,0,"3457",211,0,"9145"
2005,"Kyaka 2",1645,0,2465,0,2961,175,0,7246,1572,0,2627,0,"2977",176,0,"7352"
2005,"Kiryandongo",1135,0,2149,0,2568,404,0,6256,1193,0,2306,0,"2431",242,0,"6172"
2005,"Imvepi",1490,0,4790,0,3952,151,0,10383,1631,0,6871,0,"4329",79,0,"12910"
2005,"Ikafe",1017,0,1820,0,1806,111,0,4754,998,0,2038,0,"1555",71,0,"4662"
2005,"Adjumani",4422,0,9649,0,11633,978,0,26682,4529,0,9898,0,"10385",546,0,"25358"
2006,"Rhino Camp",1342,2042,3856,1814,3735,151,0,12940,1424,2059,4188,2129,"3688",109,0,"13597"
2006,"Palorinya",2640,3567,5968,2401,7080,497,0,22153,2611,3763,6417,2654,"5630",246,0,"21321"
2006,"Oruchinga",266,292,447,155,548,22,0,1730,234,301,465,164,"556",38,0,"1758"
2006,"Nakivale",2681,2366,4265,1899,5337,169,0,16717,2691,2261,4326,2065,"6022",201,0,"17566"
2006,"Madi-Okollo",966,931,1472,541,1538,121,0,5569,865,961,1711,750,"1291",88,0,"5666"
2006,"Kyangwali",1874,2110,3531,1421,3757,332,0,13025,1919,2105,3762,1657,"3731",226,0,"13400"
2006,"Kyaka II",1435,1764,3034,1270,3481,210,0,11194,1397,1730,3186,1456,"3448",219,0,"11436"
2006,"Kiryandongo",1335,1550,2543,993,3058,484,0,9963,1358,1634,2824,1190,"2813",300,0,"10119"
2006,"Adjumani",4391,5848,9993,4145,12254,1035,0,37666,4482,5805,10209,4404,"11098",589,0,"36587"
2006,"Kampala",195,105,654,549,1137,24,0,2664,199,96,625,529,"1803",9,0,"3261"
2006,"Imvepi",1504,2529,4741,2212,3965,155,0,15106,1680,2822,6752,3930,"4454",80,0,"19718"
2006,"Ikafe",1226,1180,1834,654,1835,114,0,6843,1245,1103,2035,932,"1591",72,0,"6978"
2007,"Rhino Camp",773,1550,2802,1252,3139,114,0,9630,761,1484,3031,1547,"3628",80,0,"10531"
2007,"Palorinya",2109,3367,5589,2222,6627,447,0,20361,2140,3481,5903,2422,"5544",235,0,"19725"
2007,"Oruchinga",307,310,440,130,543,23,0,1753,260,301,462,161,"551",37,0,"1772"
