"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-07-04 10:26:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
2000,Uganda,Burundi,118,48,,,,,,166
2000,Uganda,"Dem. Rep. of the Congo",9019,1271,1,,,,,10291
2000,Uganda,Eritrea,27,12,,,,,,39
2000,Uganda,Ethiopia,208,75,2,,,,,285
2000,Uganda,India,,1,,,,,,1
2000,Uganda,"Iran (Islamic Rep. of)",,1,,,,,,1
2000,Uganda,Iraq,8,,,,,,,8
2000,Uganda,Kenya,100,14,,,,,,114
2000,Uganda,Liberia,,4,,,,,,4
2000,Uganda,"Sri Lanka",1,1,,,,,,2
2000,Uganda,Nigeria,1,,,,,,,1
2000,Uganda,Pakistan,1,2,,,,,,3
2000,Uganda,Rwanda,13740,268,257,,,,,14265
2000,Uganda,Sudan,212156,640,12,,,,,212808
2000,Uganda,Somalia,1236,133,,,,,,1369
2000,Uganda,"Serbia and Kosovo (S/RES/1244 (1999))",4,,,,,,,4
2000,Uganda,Chad,3,2,,,,,,5
2000,Uganda,Various/Unknown,,1,,,,,,1
2001,Uganda,Burundi,94,54,,,,,,148
2001,Uganda,"Dem. Rep. of the Congo",7613,226,,,,,,7839
2001,Uganda,Eritrea,3,9,,,,,,12
2001,Uganda,Ethiopia,35,42,,,,,,77
2001,Uganda,Kenya,115,8,,,,,,123
2001,Uganda,"Sri Lanka",1,4,,,,,,5
2001,Uganda,Nigeria,1,,,,,,,1
2001,Uganda,Pakistan,,6,,,,,,6
2001,Uganda,Rwanda,14288,90,32,,,,,14410
2001,Uganda,Sudan,176766,84,,,,,,176850
2001,Uganda,"Sierra Leone",1,,,,,,,1
2001,Uganda,Somalia,819,100,,,,,,919
2001,Uganda,Chad,,4,,,,,,4
2002,Uganda,Burundi,245,20,5,,,,,270
2002,Uganda,"Dem. Rep. of the Congo",8848,182,2,,,,,9032
2002,Uganda,Eritrea,3,18,,,,,,21
2002,Uganda,Ethiopia,60,40,,,,,,100
2002,Uganda,Kenya,133,,,,,,,133
2002,Uganda,Liberia,,2,,,,,,2
2002,Uganda,"Sri Lanka",,4,,,,,,4
2002,Uganda,Nigeria,2,,,,,,,2
2002,Uganda,Pakistan,,4,,,,,,4
2002,Uganda,Rwanda,18937,72,17,,,,,19026
2002,Uganda,Sudan,188194,72,17,,,,,188283
2002,Uganda,"Sierra Leone",1,,,,,,,1
2002,Uganda,Somalia,879,125,,,,,,1004
2002,Uganda,Chad,,4,,,,,,4
2002,Uganda,"United Rep. of Tanzania",,1,,,,,,1
2003,Uganda,Burundi,317,47,1,,,,,365
2003,Uganda,"Dem. Rep. of the Congo",11680,149,27,,,,,11856
2003,Uganda,Eritrea,10,23,,,,,,33
2003,Uganda,Ethiopia,70,111,1,,,,,182
2003,Uganda,Kenya,39,1,104,,,,,144
2003,Uganda,Liberia,6,2,,,,,,8
2003,Uganda,Nigeria,3,1,,,,,,4
2003,Uganda,Rwanda,19604,182,41,,,,,19827
2003,Uganda,Sudan,198281,71,5,,,,,198357
2003,Uganda,"Sierra Leone",1,,,,,,,1
2003,Uganda,Somalia,892,135,,,,,,1027
2003,Uganda,Chad,,4,,,,,,4
2004,Uganda,Angola,1,,,,,,,1
2004,Uganda,Burundi,663,116,14,,,,,793
2004,Uganda,"Central African Rep.",1,,,,,,,1
2004,Uganda,"Dem. Rep. of the Congo",14982,336,34,,,,,15352
2004,Uganda,Eritrea,12,139,,,,,,151
2004,Uganda,Ethiopia,116,233,1,,,,,350
2004,Uganda,"Iran (Islamic Rep. of)",,1,,,,,,1
2004,Uganda,Kenya,32,1,1,,,,,34
2004,Uganda,Liberia,8,4,,,,,,12
2004,Uganda,Madagascar,,1,,,,,,1
2004,Uganda,Malawi,1,,,,,,,1
2004,Uganda,Nigeria,1,1,,,,,,2
2004,Uganda,Rwanda,18902,287,2568,,,,,21757
2004,Uganda,Sudan,214673,123,59,,,,,214855
2004,Uganda,Somalia,1089,562,,,,,,1651
2004,Uganda,"United Rep. of Tanzania",,5,,,,,,5
2004,Uganda,"South Africa",1,,,,,,,1
2005,Uganda,Burundi,1660,116,17,,,,,1793
2005,Uganda,"Central African Rep.",8,,,,,,,8
2005,Uganda,"Dem. Rep. of the Congo",20564,336,1,,,,,20901
2005,Uganda,Congo,6,,,,,,,6
2005,Uganda,Eritrea,4,139,,,,,,143
2005,Uganda,Ethiopia,99,233,,,,,,332
2005,Uganda,"Iran (Islamic Rep. of)",,1,,,,,,1
